Topic,Author ,Year,Reseach Question,Study Design,Population (Who's participating),Sample Size (N),Main Results (Findings),Conclusions (what did the study find),"Comments (issues, limitations...)",Link
Covid-19 in pregnant women and babies: What pediatricians need to know,Henry Rozycki and Sailesh Kotecha,6/13/20,What are medical considerations for mothers and babies?,Literature Review,N/A,N/A,"- Covid-19 infection in babies and infants of less than one year of age seems to be low and acquisition in most cases seems to be postnatal.
- With an altered immune system, the pregnant woman may be at risk of acquiring Covid-19 but most evidence has been based on critically ill pregnant women; although screening seems to show lesser prevalence, clearly pregnant women will continue to be vulnerable to SARS-CoV-2","-viral carriage orevalence based on universal screening show that rates vary form 13% in hot spots with high cases to 3% in places with lower cases 
-vertical transmission rates are unknown but 3.1% of 311 babies born to covid-19+ moms were covid-19+ within a week of birth (26 neonates-no deaths, 1 ICU) ","-no risks for breastfeding and for milk banks are discussed 
- More data from both hospital and community-based acquisition of SARS-CoV-2 by pregnant women is required",https://www.sciencedirect.com/science/article/pii/S1526054220300919
COVID-19 in babies: Knowledge for neonatal care,JanetGreenaJuliaPettybPatriciaBromleycKarenWalkerdLindaJonesc,1-Oct-20,What are the paths for neonatal care for babies with coronavirus?,Literature Review,"lit review, no particular population",N/A; lit review,"-To date, emerging evidence to support vertical transmission of COVID-19 during pregnancy remains low (Knight et al., 2020). According to existing data, amniotic fluid, cord blood, neonatal throat swab, placental tissue and breastmilk samples show low incidence (Yang et al., 2020a, 2020b). One study tested samples for SARS-CoV-2 from six newborn babies delivered to infected mothers; all samples tested negative for the virus (Lu and Shi, 2020).
-pathophysiology in babies: covid-19 directly infects ace2 receptor (expressed in organs, like lungs, & children express this less than adults do-may be a reason why children are affected less severly) ","-While babies have been infected, the naivete of the neonatal immune system in relation to the inflammatory response would appear to be protective, with further responses achieved with the consumption of human milk. The WHO has made clear recommendations about the benefits of breastfeeding, even if the mother and baby dyad is COVID-19 positive, if they remain well. The mother and baby should not be separated, and the mother needs to be able to participate in her baby's care and develop her mothering role. The complexities of not being able to access usual and adequate support means that the mother's mental health should be a priority during isolation and social distancing along with the emotional needs of the father and / or partner.
- no clear consensus on vertical transmission of the virus. Also, some case studies suggest COVID-19 in the neonate is less severe but this requires much more robust research.",,https://www.sciencedirect.com/science/article/pii/S135518412030096X
Coronavirus (COVID 19) Infection in Pregnancy,Edgar Iván Ortiz et al.,Jun-20,What are the general guidelines for managing covid infection during pregnancy? ,,N/A,N/A,"-There are no intrauterine infection confirmed cases up to now. However, recent evidence has suggested that it is probable the virus can be transmitted vertically, although the proportion of affected pregnancies and the importance for the newborn has not been determined yet 8,9. Reports of previous cases in China suggested that the was no presence of the virus in the amniotic fluid, blood of the umbilical cord, swabs of neonatal throats, placentas sabs, genital fluid, and in the samples of maternal milk of mothers infected with COVID-19 10.
-risk of intrapartum vertical tranmission or thru maternal lactation is less probable ","-others and newborn babies might be allowed to stay together as long as the use of face masks, continuing disinfection of surfaces and hand-washing procedures are guaranteed, keeping at least two-meter distance between the mother and the cradle especially after the childbirth and during the breastfeeding, either doctors have suspected the COVID-19 infection in mothers or babies (probable or confirmed)
-During the maternal lactation, the following prevention measures must be always guaranteed in order to reduce the risk of transmission of the virus during the breastfeeding or milk removal: Frequent hand-washing procedures during 40 to 60 seconds before having a physical contact with the baby or before removing milk; Use permanently standard surgical face mask (total covering of nose and mouth); avoid speaking or coughing specially during the breastfeeding or milk removal; keep the routine disinfecting measures of the areas the patient have contact with ",some findings are different from most studies i have read- they say that vertical transmission is probable and they say that the current data does not gussed higher risk of abortion or gestational loss in pregnant women which has not been the case in many other studies ,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-95342020000200001
Manifestations in Neonates Born to COVID-19 Positive Mothers,"Parul Jain, Anup Thakur, Neelam Kler and Pankaj Garg",5-Jun-20,,lit reviews of cases studies,2 babies ,2,#NAME?,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7272588/
Breastfeeding mothers with COVID-19 infection: a case series,Augusto Pereira et al,8-Aug-20,What should infected mothers do about breastfeeding?,"22 case studies of newborns to mothers with COVID-19 infection from March 14th to April 14th, 2020 was conducted. Mothers and newborns were followed for a median period of 1.8 consecutive months.",newborns to mothers with covid-19,22,"- Out of 22 mothers, 20 (90.9%) chose to breastfeed their babies during hospital admission
- 82% of newborns to mothers with COVID-19 were fed with breast milk after 1 month, decreasing to 77% at 1.8 months. 
- 6 of 22 (37.5%) mothers with COVID-19 required transitory complementary feeding until exclusive breastfeeding was achieved","- breastfeeding in newborns of mothers with COVID-19 is safe with the adequate infection control measures to avoid mother-baby contagion
- Supplementing feeding with pasteurized donor human milk or infant formula may be effective",,https://internationalbreastfeedingjournal.biomedcentral.com/articles/10.1186/s13006-020-00314-8
"texas babies covid' search term -> 
there were 85 infants under the age of 1 that tested + 
in one texaas county since march  ","https://www.cnn.com/2020/07/18/health/texas-infants-coronavirus-trnd/index.html
https://abcnews.go.com/Health/covid-19-cases-infants-skyrocket-texas-county-study/story?id=71906023
https://www.texastribune.org/2020/07/18/texas-babies-coronavirus-nueces-county/
","the county had a huge spike in sept 21 and cases have been growing since, 2nd wave is hitting 
https://www.kiiitv.com/article/news/health/coronavirus/219-babies-under-24-months-old-have-tested-positive-for-covid-in-nueces-county/503-c62b756f-68d7-4cce-b2bb-33447e5da815
https://www.caller.com/story/news/local/2020/08/06/infant-covid-19-cases-have-nearly-doubled-nueces-county/3311751001/
",,,,,,,,https://abcnews.go.com/Health/covid-19-cases-infants-skyrocket-texas-county-study/story?id=71906023 
"Clinical characteristics and intrauterine vertical transmission potential of 
COVID-19 infection in nine pregnant women: a retrospective review of medical records","Huijun Chen, PhD et al",13-Mar-20,evaluate the clinical characteristics of COVID-19 in pregnancy and the intrauterine vertical transmission potential of COVID-19 infection.,"case review 
-tested amniotic fluid, cord blood, and neonatal throat swab and breast milk ","9 pregnant women with laboratory-confirmed COVID-19 pneumonia (ie, with maternal throat swab samples that were positive for [SARS-CoV-2]) who were admitted to Zhongnan Hospital of Wuhan University, Wuhan, China, from Jan 20-31, 2020",9,"-All nine patients had a caesarean section in their third trimester. 
-Seven patients presented with a fever. Other symptoms, including cough (in four of nine patients), myalgia (in three), sore throat (in two), and malaise (in two), were also observed. 
-Fetal distress was monitored in two cases. Five of nine patients had lymphopenia (<1·0 × 10⁹ cells per L). Three patients had increased aminotransferase concentrations. 
-None of the patients developed severe COVID-19 pneumonia or died, as of Feb 4, 2020. Nine livebirths were recorded. No neonatal asphyxia was observed in newborn babies. All nine livebirths had a 1-min Apgar score of 8–9 and a 5-min Apgar score of 9–10. 
-Amniotic fluid, cord blood, neonatal throat swab, and breastmilk samples from six patients were tested for SARS-CoV-2, and all samples tested negative for the virus.",no evidence for intrauterine infection caused by vertical transmission in women who develop COVID-19 pneumonia in late pregnancy,,https://www.sciencedirect.com/science/article/pii/S0140673620303603
"Novel coronavirus infection in 
newborn babies under 28 days in China","Zhi-Jiang Zhang, Xue-Jie Yu, Tao Fu, Yu Liu, Yan Jiang, Bing Xiang Yang, Yongyi Bi",8-Apr-20,How does the infection look in newborns? ,Retrospective study ,"4 infections in newborn babies in China as of March 13. The age range was 30 h to 17 days old. Three were male. Two newborn babies had fever, 1 had shortness of breath, 1 had cough and 1 had no syndromes.",4,"-4 nucleic acid-confirmed neonatal infections were identified through systematic and comprehensive searching among the 81 026 confirmed cases in China as of March 13. All 4 patients were hospitalized. Three were male. The age range was 30 h to 17 days old.
- Two newborn babies had fever, 1 had shortness of breath, 1 had cough and 1 had no noticeable syndromes. The onset of disease occurred in hospital for 2 newborn babies and home for 2 newborn babies.; lungs showed increased marking 
- got teatment, none required intensive unit care or mechanical ventilation. no severe complications. Three newborn babies were deemed to recover after two consecutive negative nucleic acid tests (separated by ≥24 h). The hospital stay was 16, 23, and 30 days, respectively.
-All 4 mothers were infected by SARS-CoV-2, 3 showing symptoms before and 1 after delivery. 
-Cesarean section was used for all 4 mothers, 3 at level III hospitals and 1 at a level II hospital. 
-Three newborn babies were separated from mothers right after being born and were not breastfed. ","newborn babies are susceptible to SARS-CoV-2 infection. 4 were infected; 
The symptoms in newborn babies were milder and outcomes were less severe as compared to adults. 
mild or no symptoms in the youngest make it difficult to detect and prevent further transmission.
Intrauterine vertical transmission is possible but direct evidence is still lacking.; previous study of 6 pregnant women did not find any direct evidence
To vertical transmission- No mother-child contact or breastfeeding occurred in the 3 newborn babies. Time between birth and diagnosis was limited, ranging between 30 h and 5 days. Taken together, the chance of infection through ways other than intrauterine transmission is deemed to be low. However, there are other explanations for neonate infections.",Informed consent was waived as part of a public health outbreak investigation.,https://erj.ersjournals.com/content/early/2020/04/01/13993003.00697-2020?papetoc=&utm_source=TrendMD&utm_medium=cpc&utm_campaign=_European_Respiratory_Journal_TrendMD_1
"Possible coronavirus disease 2019 pandemic and pregnancy: 
vertical transmission is not excluded","Marzollo, Roberto MD, et al",Sep-20,Describing a vertical transmission case ,Case Study ,case of early-onset neonatal COVID-19 infection in a male infant born at 38 weeks of gestation by induced vaginal delivery.,1,"-pregnant mother was admitted to hospital for covid-19, developed fever 9 days before delivery 
-Skin-to-skin contact and breast-feeding were not possible immediately after delivery because of postpartum maternal hemorrhage. 
-The newborn was admitted to the nursery and the result of the first RT-PCR test for SARS-CoV-2 on nasopharyngeal swab was inconclusive (amplification of less than 3 genes). In the nursery, the baby was fed with formula
- at 12 hrs, showed signs of feeding intolerance with abdominal distension and hyporeactivity, which rapidly worsened.
-Nasopharyngeal swab RT-PCR for SARS-CoV-2, repeated at 36 hours of life, was positive.
- increasesd lung markings (can lead to inflamation if have too many) 
-clinical condition of the baby gradually improved, a 3-day course of chloroquine was started and mechanical ventilation was stopped 36 hours after intubation.
- negative after 1 month, discharged after 18 days in good condition ","-This case confirms the possibility of transmission of SARS-CoV-2 from the mother to the newborn. 
-Maternal fever for 9 days, the absence of postnatal mother–baby contact, 
and the early onset of neonatal symptoms may suggest a transplacental transmission rather than birth canal infection","im asumming this was a vaginal birth and not a c section 
The major limitation in our study was that serologic tests and RT-PCR on amniotic fluid, placenta, and vaginal secretions were not performed.

This is, to our knowledge, the first case of vertical transmission of SARS-COV-2 with positive RT-PCR on nasopharyngeal swab at birth. 

 Multicenter observational studies are needed",https://journals.lww.com/pidj/Fulltext/2020/09000/Possible_Coronavirus_Disease_2019_Pandemic_and.30.aspx?context=LatestArticles&casa_token=1TqD1IXp66UAAAAA:YvXbBw6pA2Oq1ot_ljoQ2fsbazn_-iPFf8NduJmeld_IcdMYTU8XPntaGUHNqVWl0C-Q6xJ7nDz9UO7yFBIbmawP
Epidemiology of COVID-19 Among Children in China,"Yuanyuan Dong, et al",1-Jun-20,"What are the epidemiological characteristics and transmission patterns of pediatric patients with COVID-10 in China?
",Case Series,"2135 patients with COVID-19 reported to the CDC from January 16, 2020, to February 8, 2020",2135,"- 728 (34.1%) laboratory-confirmed cases and 1407 (65.9%) suspected cases
- median age of all patients = 7 years (IQR: 2–13 years), and 1208 case patients (56.6%) were boys
- More than 90% of all patients had asymptomatic, mild, or moderate cases.
- The median time from illness onset to diagnoses was 2 days (range: 0–42 days)
- Rapid increase of disease at the early stage of the epidemic, then gradual decrease
- More children were infected in Hubei province than any other province.","- Children of all ages appeared susceptible to COVID-19, and there was no significant sex difference
- Infants were vulnerable to infection
- Most of the cases were concentrated in Hubei province
- Strong evidence for human-to-human transmission","- Unable to assess clinical characteristics of children’s COVID-19 because these data were unavailable at the time of analysis
- clinical features of children’s COVID-19 need to be analyzed in further research
- did not have information on children’s exposure history, and thus, the incubation period was not examined in this study
- COVID-19 is still ongoing. need more detailed patient information, particularly clinical outcomes (ICU, discharge, etc)",https://pediatrics.aappublications.org/content/145/6/e20200702
