initial_search_query,query,position,link,displayLink,site_probability
online therapy,free therapy,1,https://www.mytherapist.com/advice/therapy/where-to-find-the-best-free-online-therapy-and-why-it-matters/,www.mytherapist.com,0.0049723684352861106
online therapy,free therapy,2,https://www.buzzfeed.com/annaborges/affordable-therapy,www.buzzfeed.com,0.0028413533915920635
online therapy,free therapy,3,https://etherapypro.com/,etherapypro.com,0.0021310150436940475
online therapy,free therapy,4,https://www.7cups.com/,www.7cups.com,0.0011365413566368254
online therapy,free therapy,5,https://www.medicalnewstoday.com/articles/online-therapist-for-free,www.medicalnewstoday.com,0.0009944736870572222
online therapy,free therapy,6,https://www.livefreetherapyllc.com/,www.livefreetherapyllc.com,0.0007103383478980159
online therapy,free therapy,7,https://pubmed.ncbi.nlm.nih.gov/28294454/,pubmed.ncbi.nlm.nih.gov,0.0005682706783184127
online therapy,free therapy,8,https://www.betterhelp.com/advice/therapy/get-free-online-therapy-should-you-use-free-counseling/,www.betterhelp.com,0.0004262030087388095
online therapy,free therapy,9,https://twitter.com/carolinemoss/status/1198748131556499456?lang=en,twitter.com,0.00028413533915920634
online therapy,free therapy,10,https://www.therapistaid.com/,www.therapistaid.com,0.00014206766957960317
online therapy,online free therapy,1,https://etherapypro.com/,etherapypro.com,0.0013194392809558195
online therapy,online free therapy,2,https://www.7cups.com/,www.7cups.com,0.0007539653034033256
online therapy,online free therapy,3,https://www.mytherapist.com/advice/therapy/where-to-find-the-best-free-online-therapy-and-why-it-matters/,www.mytherapist.com,0.0005654739775524941
online therapy,online free therapy,4,https://www.betterhelp.com/advice/therapy/get-free-online-therapy-should-you-use-free-counseling/,www.betterhelp.com,0.0003015861213613302
online therapy,online free therapy,5,https://www.womenshealthmag.com/health/a31958387/free-online-therapy-coronavirus/,www.womenshealthmag.com,0.00026388785619116395
online therapy,online free therapy,6,https://www.medicalnewstoday.com/articles/online-therapist-for-free,www.medicalnewstoday.com,0.0001884913258508314
online therapy,online free therapy,7,https://cimhs.com/,cimhs.com,0.0001507930606806651
online therapy,online free therapy,8,https://www.talkspace.com/blog/free-online-therapy-versus-paid-counseling/,www.talkspace.com,0.00011309479551049882
online therapy,online free therapy,9,https://paindoctor.com/free-therapy-online/,paindoctor.com,7.539653034033254e-05
online therapy,online free therapy,10,https://slapdashmom.com/free-online-therapy/,slapdashmom.com,3.769826517016627e-05
online therapy,online physical therapy,1,https://www.atipt.com/online-physical-therapy,www.atipt.com,0.0008828379979992428
online therapy,online physical therapy,2,https://www.theranow.com/,www.theranow.com,0.0005044788559995674
online therapy,online physical therapy,3,http://www.virtualphysicaltherapists.com/,www.virtualphysicaltherapists.com,0.0003783591419996755
online therapy,online physical therapy,4,https://www.retptgroup.com/telehealth/,www.retptgroup.com,0.00020179154239982695
online therapy,online physical therapy,5,https://www.onetonline.org/link/summary/29-1123.00,www.onetonline.org,0.0001765675995998486
online therapy,online physical therapy,6,https://teach.com/online-ed/healthcare-degrees/online-dpt-programs/,teach.com,0.00012611971399989185
online therapy,online physical therapy,7,https://spearcenter.com/telehealth-physical-therapy-questions/,spearcenter.com,0.00010089577119991347
online therapy,online physical therapy,8,https://academic.oup.com/ptj,academic.oup.com,7.56718283999351e-05
online therapy,online physical therapy,9,https://www.elumatherapy.com/online-physical-therapy/,www.elumatherapy.com,5.044788559995674e-05
online therapy,online physical therapy,10,https://www.usa.edu/college-of-rehabilitative-sciences/doctor-physical-therapy/,www.usa.edu,2.522394279997837e-05
online therapy,physical therapy,1,https://en.wikipedia.org/wiki/Physical_therapy,en.wikipedia.org,0.12660214419516086
online therapy,physical therapy,2,https://www.apta.org/your-career/careers-in-physical-therapy/becoming-a-pt,www.apta.org,0.07234408239723479
online therapy,physical therapy,3,https://www.webmd.com/pain-management/what-is-physical-therapy,www.webmd.com,0.05425806179792609
online therapy,physical therapy,4,https://www.medicalnewstoday.com/articles/160645,www.medicalnewstoday.com,0.028937632958893917
online therapy,physical therapy,5,https://www.selectphysicaltherapy.com/,www.selectphysicaltherapy.com,0.02532042883903218
online therapy,physical therapy,6,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,www.bls.gov,0.018086020599308698
online therapy,physical therapy,7,https://www.pivotphysicaltherapy.com/,www.pivotphysicaltherapy.com,0.014468816479446958
online therapy,physical therapy,8,https://soundcloud.com/physical-therapy,soundcloud.com,0.010851612359585218
online therapy,physical therapy,9,https://academic.oup.com/ptj,academic.oup.com,0.007234408239723479
online therapy,physical therapy,10,https://www.professionalpt.com/,www.professionalpt.com,0.0036172041198617396
online therapy,online therapist,1,https://www.betterhelp.com/start/,www.betterhelp.com,0.0025045923576152117
online therapy,online therapist,2,https://www.verywellmind.com/best-online-therapy-4691206,www.verywellmind.com,0.0014311956329229783
online therapy,online therapist,3,https://www.talkspace.com/online-therapy/,www.talkspace.com,0.0010733967246922336
online therapy,online therapist,4,https://www.psychologytoday.com/us/therapists/online-counseling,www.psychologytoday.com,0.0005724782531691913
online therapy,online therapist,5,https://www.talkspace.com/,www.talkspace.com,0.0005009184715230424
online therapy,online therapist,6,https://www.healthline.com/health/our-top-10-online-therapy-picks,www.healthline.com,0.00035779890823074456
online therapy,online therapist,7,https://www.apa.org/topics/online-therapy,www.apa.org,0.00028623912658459565
online therapy,online therapist,8,https://www.7cups.com/,www.7cups.com,0.0002146793449384467
online therapy,online therapist,9,https://myonlinetherapy.com/,myonlinetherapy.com,0.00014311956329229783
online therapy,online therapist,10,https://www.nytimes.com/wirecutter/reviews/online-therapy-services/,www.nytimes.com,7.155978164614891e-05
online therapy,therapist,1,https://www.talkspace.com/blog/therapist-psychotherapist-complete-definition/,www.talkspace.com,0.12820517980034998
online therapy,therapist,2,https://www.betterhelp.com/advice/psychologists/what-is-the-difference-between-a-therapist-and-a-psychologist/,www.betterhelp.com,0.07326010274305715
online therapy,therapist,3,https://www.goodtherapy.org/find-therapist.html,www.goodtherapy.org,0.05494507705729285
online therapy,therapist,4,https://www.psychologytoday.com/us/therapists,www.psychologytoday.com,0.029304041097222858
online therapy,therapist,5,https://www.theatlantic.com/projects/dear-therapist/,www.theatlantic.com,0.025641035960070002
online therapy,therapist,6,https://www.webmd.com/mental-health/features/how-to-find-therapist,www.webmd.com,0.018315025685764288
online therapy,therapist,7,https://www.therapistaid.com/,www.therapistaid.com,0.014652020548611429
online therapy,therapist,8,https://www.onetonline.org/link/summary/29-1129.01?redir=29-1125.01,www.onetonline.org,0.010989015411458572
online therapy,therapist,9,https://www.healthline.com/health/how-to-find-a-therapist,www.healthline.com,0.007326010274305714
online therapy,therapist,10,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,www.bls.gov,0.003663005137152857
online therapy,occupational therapy online,1,https://www.aota.org/Education-Careers/Find-School.aspx,www.aota.org,0.0005674939605424497
online therapy,occupational therapy online,2,https://www.presencelearning.com/schools/online-occupational-therapy-ot/,www.presencelearning.com,0.00032428226316711414
online therapy,occupational therapy online,3,https://www.usnews.com/education/online-education/occupational-therapy-masters-degree,www.usnews.com,0.0002432116973753356
online therapy,occupational therapy online,4,https://info.tinyeye.com/i-am-a-tinyeye-online-occupational-therapist,info.tinyeye.com,0.00012971290526684565
online therapy,occupational therapy online,5,https://www.edumed.org/online-schools/occupational-therapy-programs/,www.edumed.org,0.00011349879210848995
online therapy,occupational therapy online,6,https://ekuonline.eku.edu/occupational-therapy,ekuonline.eku.edu,8.107056579177854e-05
online therapy,occupational therapy online,7,https://www.bestcolleges.com/features/top-online-doctorate-in-occupational-therapy/,www.bestcolleges.com,6.485645263342283e-05
online therapy,occupational therapy online,8,https://www.onlineu.com/degrees/occupational-therapy,www.onlineu.com,4.864233947506712e-05
online therapy,occupational therapy online,9,https://globalteletherapy.com/online-occupational-therapy/,globalteletherapy.com,3.242822631671141e-05
online therapy,occupational therapy online,10,https://www.elumatherapy.com/online-occupational-therapy/,www.elumatherapy.com,1.6214113158355706e-05
online therapy,occupational therapy,1,https://en.wikipedia.org/wiki/Occupational_therapy,en.wikipedia.org,0.025086721790663888
online therapy,occupational therapy,2,https://www.aota.org/About-Occupational-Therapy.aspx,www.aota.org,0.014335269594665079
online therapy,occupational therapy,3,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,www.bls.gov,0.010751452195998809
online therapy,occupational therapy,4,https://www.aota.org/Conference-Events/OTMonth/what-is-OT.aspx,www.aota.org,0.005734107837866031
online therapy,occupational therapy,5,https://www.webmd.com/pain-management/occupational-rehab,www.webmd.com,0.005017344358132778
online therapy,occupational therapy,6,https://kidshealth.org/en/parents/occupational-therapy.html,kidshealth.org,0.0035838173986662697
online therapy,occupational therapy,7,https://www.understood.org/en/learning-thinking-differences/treatments-approaches/therapies/occupational-therapy-what-you-need-to-know,www.understood.org,0.0028670539189330157
online therapy,occupational therapy,8,https://www.usnews.com/best-graduate-schools/top-health-schools/occupational-therapy-rankings,www.usnews.com,0.0021502904391997616
online therapy,occupational therapy,9,https://www.nbcot.org/,www.nbcot.org,0.0014335269594665078
online therapy,occupational therapy,10,https://www.ithaca.edu/academics/school-health-sciences-and-human-performance/occupational-therapy,www.ithaca.edu,0.0007167634797332539
online therapy,speech therapy,1,https://www.healthline.com/health/speech-therapy,www.healthline.com,0.01685533088668606
online therapy,speech therapy,2,https://www.understood.org/en/learning-thinking-differences/treatments-approaches/therapies/what-you-need-to-know-about-speech-therapy,www.understood.org,0.009631617649534893
online therapy,speech therapy,3,https://kidshealth.org/en/parents/speech-therapy.html,kidshealth.org,0.007223713237151168
online therapy,speech therapy,4,https://www.mwspeech.com/,www.mwspeech.com,0.003852647059813957
online therapy,speech therapy,5,https://www.asha.org/,www.asha.org,0.0033710661773372124
online therapy,speech therapy,6,https://www.parents.com/kids/development/learning-disabilities/what-is-speech-therapy/,www.parents.com,0.0024079044123837233
online therapy,speech therapy,7,http://www.ttspeech.com/,www.ttspeech.com,0.0019263235299069785
online therapy,speech therapy,8,https://www.a2aspeechtherapy.com/,www.a2aspeechtherapy.com,0.0014447426474302337
online therapy,speech therapy,9,https://intermountainhealthcare.org/services/ear-nose-throat/treatment-and-detection-methods/speech-therapy/,intermountainhealthcare.org,0.0009631617649534893
online therapy,speech therapy,10,https://www.aspenspeechtherapy.com/,www.aspenspeechtherapy.com,0.0004815808824767446
online therapy,best online therapy,1,https://www.verywellmind.com/best-online-therapy-4691206,www.verywellmind.com,0.0004275447592327154
online therapy,best online therapy,2,https://www.healthline.com/health/our-top-10-online-therapy-picks,www.healthline.com,0.0002443112909901231
online therapy,best online therapy,3,https://www.nytimes.com/wirecutter/reviews/online-therapy-services/,www.nytimes.com,0.00018323346824259234
online therapy,best online therapy,4,https://www.insider.com/best-online-therapy,www.insider.com,9.772451639604924e-05
online therapy,best online therapy,5,https://www.wealthysinglemommy.com/best-online-therapy-sites/,www.wealthysinglemommy.com,8.55089518465431e-05
online therapy,best online therapy,6,https://psychcentral.com/online-therapy-services/,psychcentral.com,6.107782274753077e-05
online therapy,best online therapy,7,https://www.apa.org/monitor/2017/02/online-therapy,www.apa.org,4.886225819802462e-05
online therapy,best online therapy,8,https://www.talkspace.com/,www.talkspace.com,3.664669364851847e-05
online therapy,best online therapy,9,https://www.onlinetherapyreviews.com/,www.onlinetherapyreviews.com,2.443112909901231e-05
online therapy,best online therapy,10,https://observer.com/2020/10/best-online-therapy-review-of-online-mental-health-and-counseling-services/,observer.com,1.2215564549506155e-05
online therapy,speech therapy online,1,https://connectedspeechpathology.com/,connectedspeechpathology.com,0.0004678461123546548
online therapy,speech therapy online,2,https://www.speechbuddy.com/blog/games-and-activities/6-free-online-speech-therapy-resources/,www.speechbuddy.com,0.0002673406356312313
online therapy,speech therapy online,3,https://greatspeech.com/,greatspeech.com,0.00020050547672342348
online therapy,speech therapy online,4,https://www.presencelearning.com/schools/online-speech-therapy/,www.presencelearning.com,0.00010693625425249252
online therapy,speech therapy online,5,https://www.slptele.com/,www.slptele.com,9.356922247093097e-05
online therapy,speech therapy online,6,https://www.youtube.com/watch?v=kN0rIZm6VvU,www.youtube.com,6.683515890780783e-05
online therapy,speech therapy online,7,https://www.speechpathologygraduateprograms.org/2017/12/top-5-pediatric-speech-therapy-software-tools-and-apps/,www.speechpathologygraduateprograms.org,5.346812712624626e-05
online therapy,speech therapy online,8,https://www.elumatherapy.com/online-speech-therapy/,www.elumatherapy.com,4.01010953446847e-05
online therapy,speech therapy online,9,https://thehellofoundation.com/online-therapy/,thehellofoundation.com,2.673406356312313e-05
online therapy,speech therapy online,10,https://www.asha.org/,www.asha.org,1.3367031781561565e-05
online therapy,therapy near me,1,https://thervo.com/therapists,thervo.com,0.024932545468513943
online therapy,therapy near me,2,https://www.psychologytoday.com/us/therapists,www.psychologytoday.com,0.014247168839150826
online therapy,therapy near me,3,https://www.goodtherapy.org/find-therapist.html,www.goodtherapy.org,0.010685376629363119
online therapy,therapy near me,4,https://www.betterhelp.com/advice/therapy/how-do-i-find-a-therapist-near-me/,www.betterhelp.com,0.00569886753566033
online therapy,therapy near me,5,https://www.talkspace.com/blog/counseling-near-me/,www.talkspace.com,0.0049865090937027895
online therapy,therapy near me,6,https://www.athletico.com/,www.athletico.com,0.0035617922097877066
online therapy,therapy near me,7,https://www.sterlingheartcare.com/ecp-therapy-near-me-cheektowaga-ny,www.sterlingheartcare.com,0.002849433767830165
online therapy,therapy near me,8,https://www.ahavamedical.com/physical-therapy-near-brooklyn-ny-11234,www.ahavamedical.com,0.0021370753258726236
online therapy,therapy near me,9,https://acceleratedresolutiontherapy.com/therapist-directory/,acceleratedresolutiontherapy.com,0.0014247168839150825
online therapy,therapy near me,10,https://www.inclusivetherapists.com/,www.inclusivetherapists.com,0.0007123584419575413
online therapy,online counseling,1,https://www.betterhelp.com/online-counseling/,www.betterhelp.com,0.006125212325896982
online therapy,online counseling,2,https://www.verywellmind.com/best-online-therapy-4691206,www.verywellmind.com,0.00350012132908399
online therapy,online counseling,3,https://www.psychologytoday.com/us/therapists/online-counseling,www.psychologytoday.com,0.002625090996812992
online therapy,online counseling,4,https://www.talkspace.com/online-counseling/,www.talkspace.com,0.001400048531633596
online therapy,online counseling,5,http://www.glendale.edu/students/student-services/academic-counseling/online-counseling,www.glendale.edu,0.0012250424651793965
online therapy,online counseling,6,https://www.talkspace.com/online-therapy/,www.talkspace.com,0.0008750303322709974
online therapy,online counseling,7,https://www.craftonhills.edu/onlinecounseling,www.craftonhills.edu,0.000700024265816798
online therapy,online counseling,8,https://thriveworks.com/online-counseling/,thriveworks.com,0.0005250181993625984
online therapy,online counseling,9,https://studentaid.gov/,studentaid.gov,0.000350012132908399
online therapy,online counseling,10,https://www.healthline.com/health/our-top-10-online-therapy-picks,www.healthline.com,0.0001750060664541995
